UPN,AISolution,YearMonth,Sessions,ActiveDays,EstimatedPrompts,DistinctDevices,Category,RiskTier
hugo.cano@contoso.com,Microsoft 365 Copilot,2025-10,140,21,134,1,Productivity,Sanctioned
hugo.cano@contoso.com,Microsoft 365 Copilot,2026-06,100,22,54,1,Productivity,Sanctioned
hugo.cano@contoso.com,Microsoft 365 Copilot,2026-04,367,14,205,2,Productivity,Sanctioned
hugo.cano@contoso.com,GitHub Copilot,2025-11,199,12,22,1,Development,Sanctioned
hugo.cano@contoso.com,GitHub Copilot,2025-09,205,22,97,1,Development,Sanctioned
hugo.cano@contoso.com,GitHub Copilot,2026-05,291,6,128,2,Development,Sanctioned
hugo.cano@contoso.com,GitHub Copilot,2025-10,149,18,67,1,Development,Sanctioned
hugo.cano@contoso.com,Perplexity,2026-01,282,6,80,2,Search AI,Unsanctioned
hugo.cano@contoso.com,Perplexity,2026-03,96,15,52,2,Search AI,Unsanctioned
hugo.cano@contoso.com,Perplexity,2026-02,345,5,292,2,Search AI,Unsanctioned
hugo.cano@contoso.com,Perplexity,2025-11,8,4,8,3,Search AI,Unsanctioned
hugo.cano@contoso.com,Gemini,2026-05,269,18,179,2,General AI,Unsanctioned
hugo.cano@contoso.com,Gemini,2026-02,168,8,12,1,General AI,Unsanctioned
iris.lund@contoso.com,Microsoft 365 Copilot,2025-09,142,6,120,1,Productivity,Sanctioned
iris.lund@contoso.com,Microsoft 365 Copilot,2026-02,264,2,47,3,Productivity,Sanctioned
iris.lund@contoso.com,Microsoft 365 Copilot,2025-12,115,3,80,3,Productivity,Sanctioned
iris.lund@contoso.com,Microsoft 365 Copilot,2026-05,63,21,32,2,Productivity,Sanctioned
iris.lund@contoso.com,Claude,2026-01,102,17,10,3,General AI,Unsanctioned
iris.lund@contoso.com,Claude,2025-12,137,7,107,1,General AI,Unsanctioned
iris.lund@contoso.com,Gemini,2025-12,17,17,1,1,General AI,Unsanctioned
iris.lund@contoso.com,Gemini,2026-02,45,9,9,2,General AI,Unsanctioned
iris.lund@contoso.com,Gemini,2026-06,291,9,206,1,General AI,Unsanctioned
jack.tate@contoso.com,Microsoft 365 Copilot,2026-02,391,18,79,3,Productivity,Sanctioned
jack.tate@contoso.com,Microsoft 365 Copilot,2025-10,226,5,119,1,Productivity,Sanctioned
jack.tate@contoso.com,Microsoft 365 Copilot,2026-05,162,17,2,3,Productivity,Sanctioned
kara.yost@contoso.com,Microsoft 365 Copilot,2025-12,382,1,10,1,Productivity,Sanctioned
kara.yost@contoso.com,Microsoft 365 Copilot,2026-06,71,5,4,2,Productivity,Sanctioned
liam.beck@contoso.com,Microsoft 365 Copilot,2025-11,399,1,272,1,Productivity,Sanctioned
liam.beck@contoso.com,Microsoft 365 Copilot,2026-04,245,7,53,3,Productivity,Sanctioned
liam.beck@contoso.com,Microsoft 365 Copilot,2026-06,95,15,32,3,Productivity,Sanctioned
liam.beck@contoso.com,DeepSeek,2026-05,100,8,96,2,General AI,Unsanctioned
liam.beck@contoso.com,DeepSeek,2026-03,199,15,100,1,General AI,Unsanctioned
liam.beck@contoso.com,Gemini,2026-03,124,19,25,1,General AI,Unsanctioned
liam.beck@contoso.com,Gemini,2025-09,131,7,119,1,General AI,Unsanctioned
liam.beck@contoso.com,Gemini,2025-10,32,5,17,2,General AI,Unsanctioned
liam.beck@contoso.com,Gemini,2026-05,388,16,15,1,General AI,Unsanctioned
liam.beck@contoso.com,GitHub Copilot,2025-10,379,13,261,3,Development,Sanctioned
liam.beck@contoso.com,GitHub Copilot,2026-01,166,22,89,3,Development,Sanctioned
liam.beck@contoso.com,GitHub Copilot,2026-05,395,15,285,1,Development,Sanctioned
liam.beck@contoso.com,GitHub Copilot,2026-04,69,14,25,3,Development,Sanctioned
liam.beck@contoso.com,Midjourney,2026-06,281,11,263,3,Image Generation,Unsanctioned
liam.beck@contoso.com,Midjourney,2026-05,142,13,129,1,Image Generation,Unsanctioned
liam.beck@contoso.com,Midjourney,2025-10,122,10,57,2,Image Generation,Unsanctioned
liam.beck@contoso.com,Midjourney,2025-09,312,9,73,2,Image Generation,Unsanctioned
liam.beck@contoso.com,Midjourney,2026-03,102,16,55,1,Image Generation,Unsanctioned
mira.funk@contoso.com,Microsoft 365 Copilot,2026-02,361,21,301,1,Productivity,Sanctioned
mira.funk@contoso.com,Microsoft 365 Copilot,2026-01,214,3,169,3,Productivity,Sanctioned
mira.funk@contoso.com,Microsoft 365 Copilot,2025-12,127,13,96,2,Productivity,Sanctioned
mira.funk@contoso.com,Microsoft 365 Copilot,2025-09,265,18,177,3,Productivity,Sanctioned
mira.funk@contoso.com,Gemini,2025-12,42,18,17,3,General AI,Unsanctioned
mira.funk@contoso.com,Gemini,2025-10,271,4,49,1,General AI,Unsanctioned
mira.funk@contoso.com,Gemini,2025-09,191,14,48,1,General AI,Unsanctioned
mira.funk@contoso.com,Claude,2026-01,1,1,1,1,General AI,Unsanctioned
mira.funk@contoso.com,Claude,2025-10,345,21,137,1,General AI,Unsanctioned
mira.funk@contoso.com,Midjourney,2025-12,127,9,90,2,Image Generation,Unsanctioned
mira.funk@contoso.com,Midjourney,2025-09,126,5,14,1,Image Generation,Unsanctioned
mira.funk@contoso.com,Midjourney,2026-05,22,6,16,3,Image Generation,Unsanctioned
mira.funk@contoso.com,Midjourney,2026-04,246,2,186,1,Image Generation,Unsanctioned
mira.funk@contoso.com,DeepSeek,2025-10,113,8,9,2,General AI,Unsanctioned
mira.funk@contoso.com,DeepSeek,2025-09,319,11,91,1,General AI,Unsanctioned
noah.holt@contoso.com,Microsoft 365 Copilot,2026-01,27,3,14,1,Productivity,Sanctioned
noah.holt@contoso.com,Microsoft 365 Copilot,2026-06,235,12,75,1,Productivity,Sanctioned
noah.holt@contoso.com,Microsoft 365 Copilot,2025-11,311,21,150,1,Productivity,Sanctioned
noah.holt@contoso.com,Microsoft 365 Copilot,2026-04,17,11,3,3,Productivity,Sanctioned
noah.holt@contoso.com,Claude,2026-04,224,16,172,3,General AI,Unsanctioned
noah.holt@contoso.com,Claude,2026-02,224,15,179,3,General AI,Unsanctioned
noah.holt@contoso.com,Claude,2026-06,394,14,73,1,General AI,Unsanctioned
noah.holt@contoso.com,Claude,2025-10,107,12,47,3,General AI,Unsanctioned
olga.pace@contoso.com,Microsoft 365 Copilot,2026-04,371,21,92,2,Productivity,Sanctioned
olga.pace@contoso.com,Microsoft 365 Copilot,2025-11,272,9,212,1,Productivity,Sanctioned
olga.pace@contoso.com,Microsoft 365 Copilot,2026-01,84,15,59,1,Productivity,Sanctioned
olga.pace@contoso.com,Perplexity,2026-05,84,6,26,2,Search AI,Unsanctioned
olga.pace@contoso.com,Perplexity,2026-01,107,3,27,3,Search AI,Unsanctioned
olga.pace@contoso.com,Perplexity,2026-02,161,7,64,2,Search AI,Unsanctioned
olga.pace@contoso.com,DeepSeek,2026-04,61,19,24,1,General AI,Unsanctioned
olga.pace@contoso.com,DeepSeek,2026-01,57,13,49,2,General AI,Unsanctioned
olga.pace@contoso.com,DeepSeek,2026-02,351,19,193,3,General AI,Unsanctioned
olga.pace@contoso.com,DeepSeek,2025-10,328,20,41,1,General AI,Unsanctioned
olga.pace@contoso.com,DeepSeek,2025-09,200,21,100,2,General AI,Unsanctioned
pete.rios@contoso.com,Microsoft 365 Copilot,2025-11,168,18,119,1,Productivity,Sanctioned
pete.rios@contoso.com,Microsoft 365 Copilot,2025-10,250,4,93,1,Productivity,Sanctioned
pete.rios@contoso.com,Microsoft 365 Copilot,2026-01,232,14,114,2,Productivity,Sanctioned
pete.rios@contoso.com,Microsoft 365 Copilot,2025-09,273,18,49,2,Productivity,Sanctioned
pete.rios@contoso.com,Microsoft 365 Copilot,2026-04,191,3,67,3,Productivity,Sanctioned
rosa.snow@contoso.com,Microsoft 365 Copilot,2026-03,162,7,55,2,Productivity,Sanctioned
rosa.snow@contoso.com,Microsoft 365 Copilot,2026-04,395,16,292,1,Productivity,Sanctioned
rosa.snow@contoso.com,Microsoft 365 Copilot,2026-02,152,22,3,1,Productivity,Sanctioned
seth.vogt@contoso.com,Microsoft 365 Copilot,2026-03,145,11,133,3,Productivity,Sanctioned
seth.vogt@contoso.com,Microsoft 365 Copilot,2026-02,111,21,97,2,Productivity,Sanctioned
seth.vogt@contoso.com,Claude,2025-10,305,12,152,3,General AI,Unsanctioned
seth.vogt@contoso.com,Claude,2025-09,356,8,316,2,General AI,Unsanctioned
seth.vogt@contoso.com,DeepSeek,2026-05,282,15,93,1,General AI,Unsanctioned
seth.vogt@contoso.com,DeepSeek,2025-09,68,3,21,3,General AI,Unsanctioned
seth.vogt@contoso.com,DeepSeek,2026-02,391,8,107,1,General AI,Unsanctioned
seth.vogt@contoso.com,GitHub Copilot,2025-11,313,12,268,2,Development,Sanctioned
seth.vogt@contoso.com,GitHub Copilot,2026-03,212,8,90,1,Development,Sanctioned
seth.vogt@contoso.com,ChatGPT,2026-01,111,6,19,1,General AI,Conditional
seth.vogt@contoso.com,ChatGPT,2025-12,307,11,250,1,General AI,Conditional
tina.wynn@contoso.com,Microsoft 365 Copilot,2025-12,91,22,4,1,Productivity,Sanctioned
tina.wynn@contoso.com,Microsoft 365 Copilot,2025-10,306,22,72,2,Productivity,Sanctioned
tina.wynn@contoso.com,Microsoft 365 Copilot,2026-02,175,22,61,2,Productivity,Sanctioned
tina.wynn@contoso.com,Claude,2025-10,118,6,36,3,General AI,Unsanctioned
tina.wynn@contoso.com,Claude,2026-03,87,6,63,2,General AI,Unsanctioned
tina.wynn@contoso.com,Claude,2026-04,388,12,92,3,General AI,Unsanctioned
tina.wynn@contoso.com,Claude,2025-12,328,17,111,1,General AI,Unsanctioned
tina.wynn@contoso.com,Gemini,2026-01,211,11,168,3,General AI,Unsanctioned
tina.wynn@contoso.com,Gemini,2025-12,378,12,347,2,General AI,Unsanctioned
tina.wynn@contoso.com,Gemini,2026-04,354,10,47,1,General AI,Unsanctioned
tina.wynn@contoso.com,Midjourney,2026-01,301,15,135,3,Image Generation,Unsanctioned
tina.wynn@contoso.com,Midjourney,2025-09,355,16,4,2,Image Generation,Unsanctioned
tina.wynn@contoso.com,Midjourney,2026-04,322,16,26,1,Image Generation,Unsanctioned
tina.wynn@contoso.com,Midjourney,2026-05,208,18,121,2,Image Generation,Unsanctioned
ueli.zane@contoso.com,Microsoft 365 Copilot,2026-05,268,15,227,1,Productivity,Sanctioned
ueli.zane@contoso.com,Microsoft 365 Copilot,2026-06,149,2,18,1,Productivity,Sanctioned
ueli.zane@contoso.com,Microsoft 365 Copilot,2026-03,6,1,4,3,Productivity,Sanctioned
ueli.zane@contoso.com,Microsoft 365 Copilot,2025-09,3,1,3,3,Productivity,Sanctioned
ueli.zane@contoso.com,ChatGPT,2026-05,194,6,65,1,General AI,Conditional
ueli.zane@contoso.com,ChatGPT,2026-02,91,21,28,1,General AI,Conditional
ueli.zane@contoso.com,GitHub Copilot,2025-12,336,12,278,3,Development,Sanctioned
ueli.zane@contoso.com,GitHub Copilot,2026-04,174,18,42,2,Development,Sanctioned
ueli.zane@contoso.com,Perplexity,2025-12,335,2,233,3,Search AI,Unsanctioned
ueli.zane@contoso.com,Perplexity,2026-04,394,14,211,3,Search AI,Unsanctioned
ueli.zane@contoso.com,Midjourney,2026-06,192,11,45,3,Image Generation,Unsanctioned
ueli.zane@contoso.com,Midjourney,2026-03,178,13,37,3,Image Generation,Unsanctioned
ueli.zane@contoso.com,Midjourney,2026-02,124,22,67,1,Image Generation,Unsanctioned
ueli.zane@contoso.com,Midjourney,2026-05,247,21,195,1,Image Generation,Unsanctioned
